Év,Város,Lakástípus,Lakásár (EUR/m²),Bérleti díj (EUR/hó),Nettó jövedelem (EUR/hó),EUR/RON árfolyam,Munkanélküliségi ráta (%)
2010-Q1,Bukarest,Új lakás,844.48,179.09,368.85,4.174,7.47
2010-Q1,Bukarest,Felújított lakás,741.33,150.68,368.85,4.174,7.47
2010-Q1,Bukarest,Használt lakás,605.69,125.37,368.85,4.174,7.47
2010-Q1,Kolozsvár,Új lakás,817.02,187.62,348.07,4.174,7.82
2010-Q1,Kolozsvár,Felújított lakás,732.96,159.9,348.07,4.174,7.82
2010-Q1,Kolozsvár,Használt lakás,631.5,143.02,348.07,4.174,7.82
2010-Q1,Temesvár,Új lakás,839.55,180.2,347.79,4.174,7.53
2010-Q1,Temesvár,Felújított lakás,734.71,150.06,347.79,4.174,7.53
2010-Q1,Temesvár,Használt lakás,631.75,123.27,347.79,4.174,7.53
2010-Q1,Brassó,Új lakás,841.19,191.8,334.75,4.174,7.84
2010-Q1,Brassó,Felújított lakás,739.92,144.46,334.75,4.174,7.84
2010-Q1,Brassó,Használt lakás,612.4,136.62,334.75,4.174,7.84
2010-Q1,Jászvásár,Új lakás,829.07,185.78,330.07,4.174,7.81
2010-Q1,Jászvásár,Felújított lakás,719.16,165.02,330.07,4.174,7.81
2010-Q1,Jászvásár,Használt lakás,648.08,149.49,330.07,4.174,7.81
2010-Q1,Konstanca,Új lakás,837.21,190.06,347.5,4.174,7.23
2010-Q1,Konstanca,Felújított lakás,740.61,161.13,347.5,4.174,7.23
2010-Q1,Konstanca,Használt lakás,615.93,141.71,347.5,4.174,7.23
2010-Q1,Craiova,Új lakás,817.13,182.99,341.96,4.174,7.85
2010-Q1,Craiova,Felújított lakás,755.88,166.93,341.96,4.174,7.85
2010-Q1,Craiova,Használt lakás,654.24,123.95,341.96,4.174,7.85
2010-Q1,Galac,Új lakás,830.16,168.79,344.87,4.174,7.71
2010-Q1,Galac,Felújított lakás,740.81,159.1,344.87,4.174,7.71
2010-Q1,Galac,Használt lakás,634.18,144.36,344.87,4.174,7.71
2010-Q1,Ploiești,Új lakás,851.29,176.28,350.58,4.174,7.85
2010-Q1,Ploiești,Felújított lakás,728.4,143.35,350.58,4.174,7.85
2010-Q1,Ploiești,Használt lakás,637.39,138.25,350.58,4.174,7.85
2010-Q1,Nagyvárad,Új lakás,817.25,186.18,347.58,4.174,7.69
2010-Q1,Nagyvárad,Felújított lakás,755.11,171.09,347.58,4.174,7.69
2010-Q1,Nagyvárad,Használt lakás,639.57,125.01,347.58,4.174,7.69
2010-Q1,Arad,Új lakás,847.27,174.69,346.31,4.174,7.14
2010-Q1,Arad,Felújított lakás,719.62,151.74,346.31,4.174,7.14
2010-Q1,Arad,Használt lakás,616.55,125.07,346.31,4.174,7.14
2010-Q1,Nagyszeben,Új lakás,850.78,172.08,359.3,4.174,7.16
2010-Q1,Nagyszeben,Felújított lakás,754.46,149.56,359.3,4.174,7.16
2010-Q1,Nagyszeben,Használt lakás,646.38,145.29,359.3,4.174,7.16
2010-Q1,Târgu Mureș,Új lakás,849.53,171.47,331.58,4.174,7.11
2010-Q1,Târgu Mureș,Felújított lakás,756.8,166.66,331.58,4.174,7.11
2010-Q1,Târgu Mureș,Használt lakás,613.85,138.26,331.58,4.174,7.11
2010-Q2,Bukarest,Új lakás,862.55,180.67,333.39,4.202,7.46
2010-Q2,Bukarest,Felújított lakás,738.88,152.94,333.39,4.202,7.46
2010-Q2,Bukarest,Használt lakás,626.23,131.44,333.39,4.202,7.46
2010-Q2,Kolozsvár,Új lakás,856.15,188.16,369.14,4.202,7.51
2010-Q2,Kolozsvár,Felújított lakás,717.28,169.28,369.14,4.202,7.51
2010-Q2,Kolozsvár,Használt lakás,630.5,148.4,369.14,4.202,7.51
2010-Q2,Temesvár,Új lakás,841.31,175.97,337.4,4.202,7.32
2010-Q2,Temesvár,Felújított lakás,734.04,151.73,337.4,4.202,7.32
2010-Q2,Temesvár,Használt lakás,617.52,129.55,337.4,4.202,7.32
2010-Q2,Brassó,Új lakás,838.11,174.84,337.65,4.202,7.5
2010-Q2,Brassó,Felújított lakás,724.8,171.65,337.65,4.202,7.5
2010-Q2,Brassó,Használt lakás,642.87,146.21,337.65,4.202,7.5
2010-Q2,Jászvásár,Új lakás,858.61,166.33,355.98,4.202,7.35
2010-Q2,Jászvásár,Felújított lakás,727.59,155.17,355.98,4.202,7.35
2010-Q2,Jászvásár,Használt lakás,612.9,125.48,355.98,4.202,7.35
2010-Q2,Konstanca,Új lakás,839.99,194.65,358.91,4.202,7.85
2010-Q2,Konstanca,Felújított lakás,753.05,144.4,358.91,4.202,7.85
2010-Q2,Konstanca,Használt lakás,623.08,136.11,358.91,4.202,7.85
2010-Q2,Craiova,Új lakás,819.76,188.67,357.3,4.202,7.24
2010-Q2,Craiova,Felújított lakás,735.61,168.0,357.3,4.202,7.24
2010-Q2,Craiova,Használt lakás,608.23,124.17,357.3,4.202,7.24
2010-Q2,Galac,Új lakás,850.06,193.05,340.08,4.202,7.4
2010-Q2,Galac,Felújított lakás,725.75,168.9,340.08,4.202,7.4
2010-Q2,Galac,Használt lakás,641.16,148.92,340.08,4.202,7.4
2010-Q2,Ploiești,Új lakás,851.17,182.51,356.74,4.202,7.79
2010-Q2,Ploiești,Felújított lakás,714.48,143.55,356.74,4.202,7.79
2010-Q2,Ploiești,Használt lakás,638.44,130.42,356.74,4.202,7.79
2010-Q2,Nagyvárad,Új lakás,820.66,180.52,338.5,4.202,7.17
2010-Q2,Nagyvárad,Felújított lakás,744.77,148.26,338.5,4.202,7.17
2010-Q2,Nagyvárad,Használt lakás,614.38,133.28,338.5,4.202,7.17
2010-Q2,Arad,Új lakás,844.47,182.64,363.84,4.202,7.32
2010-Q2,Arad,Felújított lakás,716.73,145.74,363.84,4.202,7.32
2010-Q2,Arad,Használt lakás,618.1,128.96,363.84,4.202,7.32
2010-Q2,Nagyszeben,Új lakás,854.2,185.72,351.79,4.202,7.71
2010-Q2,Nagyszeben,Felújított lakás,736.1,168.96,351.79,4.202,7.71
2010-Q2,Nagyszeben,Használt lakás,646.74,137.91,351.79,4.202,7.71
2010-Q2,Târgu Mureș,Új lakás,842.29,191.89,362.92,4.202,7.18
2010-Q2,Târgu Mureș,Felújított lakás,729.41,146.42,362.92,4.202,7.18
2010-Q2,Târgu Mureș,Használt lakás,607.81,149.39,362.92,4.202,7.18
2010-Q3,Bukarest,Új lakás,820.1,178.81,330.95,4.18,7.63
2010-Q3,Bukarest,Felújított lakás,730.81,148.92,330.95,4.18,7.63
2010-Q3,Bukarest,Használt lakás,623.97,133.43,330.95,4.18,7.63
2010-Q3,Kolozsvár,Új lakás,829.52,169.05,343.47,4.18,7.81
2010-Q3,Kolozsvár,Felújított lakás,727.34,169.97,343.47,4.18,7.81
2010-Q3,Kolozsvár,Használt lakás,645.69,129.66,343.47,4.18,7.81
2010-Q3,Temesvár,Új lakás,840.91,185.58,342.82,4.18,7.78
2010-Q3,Temesvár,Felújított lakás,728.68,158.82,342.82,4.18,7.78
2010-Q3,Temesvár,Használt lakás,648.33,124.21,342.82,4.18,7.78
2010-Q3,Brassó,Új lakás,844.96,165.27,338.96,4.18,7.63
2010-Q3,Brassó,Felújított lakás,759.56,163.41,338.96,4.18,7.63
2010-Q3,Brassó,Használt lakás,644.84,145.87,338.96,4.18,7.63
2010-Q3,Jászvásár,Új lakás,825.05,180.76,332.74,4.18,7.47
2010-Q3,Jászvásár,Felújított lakás,740.04,150.49,332.74,4.18,7.47
2010-Q3,Jászvásár,Használt lakás,625.45,123.47,332.74,4.18,7.47
2010-Q3,Konstanca,Új lakás,848.39,179.32,348.8,4.18,7.73
2010-Q3,Konstanca,Felújított lakás,738.19,172.42,348.8,4.18,7.73
2010-Q3,Konstanca,Használt lakás,622.59,133.91,348.8,4.18,7.73
2010-Q3,Craiova,Új lakás,862.93,168.43,357.16,4.18,7.83
2010-Q3,Craiova,Felújított lakás,753.1,157.0,357.16,4.18,7.83
2010-Q3,Craiova,Használt lakás,612.28,131.89,357.16,4.18,7.83
2010-Q3,Galac,Új lakás,817.26,180.21,336.09,4.18,7.66
2010-Q3,Galac,Felújított lakás,721.59,162.91,336.09,4.18,7.66
2010-Q3,Galac,Használt lakás,648.98,135.34,336.09,4.18,7.66
2010-Q3,Ploiești,Új lakás,848.43,176.77,368.44,4.18,7.74
2010-Q3,Ploiești,Felújított lakás,748.06,158.55,368.44,4.18,7.74
2010-Q3,Ploiești,Használt lakás,647.28,133.24,368.44,4.18,7.74
2010-Q3,Nagyvárad,Új lakás,837.86,165.7,359.88,4.18,7.33
2010-Q3,Nagyvárad,Felújított lakás,714.81,163.18,359.88,4.18,7.33
2010-Q3,Nagyvárad,Használt lakás,607.59,132.73,359.88,4.18,7.33
2010-Q3,Arad,Új lakás,861.72,192.37,332.67,4.18,7.48
2010-Q3,Arad,Felújított lakás,726.17,170.01,332.67,4.18,7.48
2010-Q3,Arad,Használt lakás,630.12,120.32,332.67,4.18,7.48
2010-Q3,Nagyszeben,Új lakás,856.68,173.92,361.75,4.18,7.84
2010-Q3,Nagyszeben,Felújított lakás,712.04,148.04,361.75,4.18,7.84
2010-Q3,Nagyszeben,Használt lakás,637.79,127.83,361.75,4.18,7.84
2010-Q3,Târgu Mureș,Új lakás,845.77,189.18,345.41,4.18,7.45
2010-Q3,Târgu Mureș,Felújított lakás,723.21,143.88,345.41,4.18,7.45
2010-Q3,Târgu Mureș,Használt lakás,628.08,130.02,345.41,4.18,7.45
2010-Q4,Bukarest,Új lakás,825.97,191.7,350.63,4.174,7.24
2010-Q4,Bukarest,Felújított lakás,756.23,160.05,350.63,4.174,7.24
2010-Q4,Bukarest,Használt lakás,614.34,145.08,350.63,4.174,7.24
2010-Q4,Kolozsvár,Új lakás,856.89,194.61,343.94,4.174,7.25
2010-Q4,Kolozsvár,Felújított lakás,736.95,169.47,343.94,4.174,7.25
2010-Q4,Kolozsvár,Használt lakás,614.87,145.98,343.94,4.174,7.25
2010-Q4,Temesvár,Új lakás,815.61,191.11,358.71,4.174,7.65
2010-Q4,Temesvár,Felújított lakás,751.15,159.62,358.71,4.174,7.65
