Időszak,Város,Lakásár (EUR/m²),Bérleti díj (EUR/hó),Jövedelem (EUR/hó),Lakás típusa,Munkanélküliségi ráta (%)
2010 Q1,București,1059.61,294.47,538.86,Használt lakás,6.52
2010 Q1,București,971.9,290.63,594.75,Felújított lakás,5.77
2010 Q1,București,943.66,321.7,472.19,Felújított lakás,4.53
2010 Q1,București,1029.04,223.47,396.5,Felújított lakás,4.44
2010 Q1,București,878.46,312.57,445.52,Új lakás,3.59
2010 Q1,Cluj-Napoca,1175.88,290.97,504.05,Felújított lakás,3.58
2010 Q1,Cluj-Napoca,934.67,304.44,430.94,Felújított lakás,5.38
2010 Q1,Cluj-Napoca,927.92,288.33,463.9,Új lakás,6.85
2010 Q1,Cluj-Napoca,998.38,257.69,549.35,Új lakás,3.78
2010 Q1,Cluj-Napoca,1025.06,221.61,420.31,Felújított lakás,5.2
2010 Q1,Timișoara,1088.62,306.85,493.06,Felújított lakás,4.7
2010 Q1,Timișoara,822.58,271.21,472.36,Új lakás,6.06
2010 Q1,Timișoara,1041.23,229.48,519.45,Használt lakás,4.61
2010 Q1,Timișoara,918.77,324.47,561.86,Új lakás,5.93
2010 Q1,Timișoara,899.29,287.63,519.88,Új lakás,5.98
2010 Q1,Iași,942.5,292.57,433.62,Felújított lakás,3.8
2010 Q1,Iași,1097.5,354.25,495.68,Felújított lakás,6.0
2010 Q1,Iași,1043.4,274.2,521.68,Új lakás,6.54
2010 Q1,Iași,995.7,362.59,342.82,Új lakás,5.82
2010 Q1,Iași,1010.45,288.04,505.51,Új lakás,3.01
2010 Q1,Brașov,973.64,314.28,588.67,Új lakás,4.48
2010 Q1,Brașov,902.98,279.93,554.92,Felújított lakás,5.33
2010 Q1,Brașov,936.43,320.53,505.82,Új lakás,5.97
2010 Q1,Brașov,915.75,286.89,476.47,Használt lakás,3.54
2010 Q1,Brașov,1035.53,310.44,500.31,Használt lakás,4.77
2010 Q1,Constanța,830.16,283.17,479.44,Felújított lakás,4.2
2010 Q1,Constanța,980.65,316.16,613.17,Felújított lakás,5.17
2010 Q1,Constanța,1030.91,297.02,384.87,Felújított lakás,4.97
2010 Q1,Constanța,1007.23,398.53,488.46,Új lakás,5.3
2010 Q1,Constanța,995.83,253.25,568.57,Használt lakás,5.75
2010 Q1,Sibiu,1094.92,263.62,584.17,Új lakás,3.6
2010 Q1,Sibiu,1070.42,387.62,440.57,Új lakás,4.43
2010 Q1,Sibiu,1011.96,279.86,406.96,Új lakás,5.07
2010 Q1,Sibiu,872.52,318.94,444.83,Új lakás,6.55
2010 Q1,Sibiu,906.01,287.12,548.81,Új lakás,3.77
2010 Q1,Oradea,1027.3,352.29,403.55,Új lakás,5.18
2010 Q1,Oradea,1031.19,331.27,425.78,Felújított lakás,3.68
2010 Q1,Oradea,1062.63,311.88,515.03,Új lakás,5.35
2010 Q1,Oradea,918.4,309.29,517.58,Új lakás,4.29
2010 Q1,Oradea,1223.89,318.95,428.52,Használt lakás,5.66
2010 Q1,Galați,883.04,331.48,569.52,Felújított lakás,4.18
2010 Q1,Galați,1115.61,316.51,549.32,Új lakás,6.9
2010 Q1,Galați,970.55,269.85,446.63,Új lakás,4.18
2010 Q1,Galați,990.75,313.65,516.6,Felújított lakás,5.83
2010 Q1,Galați,1001.56,358.14,484.12,Felújított lakás,7.72
2010 Q1,Ploiești,1075.08,265.71,435.75,Új lakás,5.48
2010 Q1,Ploiești,973.18,328.56,528.39,Felújított lakás,4.93
2010 Q1,Ploiești,898.38,239.41,473.21,Új lakás,5.86
2010 Q1,Ploiești,1025.69,250.17,510.39,Felújított lakás,5.39
2010 Q1,Ploiești,893.94,306.15,503.49,Új lakás,3.86
2010 Q1,Arad,1042.93,322.43,564.98,Felújított lakás,6.05
2010 Q1,Arad,834.68,262.49,530.9,Felújított lakás,5.51
2010 Q1,Arad,1061.81,454.11,534.25,Felújított lakás,6.14
2010 Q1,Arad,1114.48,326.06,481.08,Felújított lakás,5.76
2010 Q1,Arad,907.26,290.53,470.88,Felújított lakás,5.08
2010 Q1,Bacău,1277.76,225.31,541.18,Felújított lakás,3.39
2010 Q1,Bacău,943.37,343.56,503.86,Felújított lakás,3.92
2010 Q1,Bacău,914.16,327.18,456.18,Új lakás,5.22
2010 Q1,Bacău,1005.47,273.94,628.64,Új lakás,5.63
2010 Q1,Bacău,756.98,307.46,460.29,Új lakás,5.85
2010 Q1,Târgu Mureș,904.9,295.41,530.3,Felújított lakás,5.87
2010 Q1,Târgu Mureș,855.96,286.62,471.5,Használt lakás,4.35
2010 Q1,Târgu Mureș,1211.85,316.2,424.35,Új lakás,5.92
2010 Q1,Târgu Mureș,1254.66,341.3,408.84,Használt lakás,4.52
2010 Q1,Târgu Mureș,1152.03,271.69,526.63,Felújított lakás,5.77
2010 Q1,Baia Mare,888.77,297.62,305.52,Új lakás,3.98
2010 Q1,Baia Mare,969.69,250.09,597.94,Felújított lakás,3.57
2010 Q1,Baia Mare,947.19,305.23,586.48,Használt lakás,3.56
2010 Q1,Baia Mare,1139.58,300.41,441.11,Felújított lakás,5.46
2010 Q1,Baia Mare,1023.89,275.99,504.19,Felújított lakás,4.61
2010 Q1,Satu Mare,1013.62,326.49,595.16,Használt lakás,3.76
2010 Q1,Satu Mare,1255.96,221.92,490.89,Új lakás,5.59
2010 Q1,Satu Mare,1033.72,275.09,487.51,Használt lakás,4.51
2010 Q1,Satu Mare,929.28,333.98,521.42,Használt lakás,4.31
2010 Q1,Satu Mare,1107.95,312.29,548.77,Felújított lakás,5.63
2010 Q1,Botoșani,900.52,277.59,544.84,Felújított lakás,5.61
2010 Q1,Botoșani,997.49,304.69,576.66,Használt lakás,4.41
2010 Q1,Botoșani,1065.65,291.91,486.94,Felújított lakás,6.1
2010 Q1,Botoșani,1099.05,332.54,578.33,Új lakás,5.02
2010 Q1,Botoșani,1081.83,287.59,519.45,Felújított lakás,4.87
2010 Q1,Pitești,1011.64,323.81,450.91,Használt lakás,7.09
2010 Q1,Pitești,879.28,251.43,569.49,Használt lakás,5.79
2010 Q1,Pitești,1074.89,325.13,499.27,Felújított lakás,4.1
2010 Q1,Pitești,1009.1,272.91,558.51,Új lakás,4.85
2010 Q1,Pitești,900.94,287.14,524.78,Új lakás,4.44
2010 Q1,Craiova,901.33,309.75,514.7,Használt lakás,4.49
2010 Q1,Craiova,943.48,309.28,413.11,Használt lakás,3.59
2010 Q1,Craiova,913.79,291.46,518.65,Új lakás,6.48
2010 Q1,Craiova,1102.92,293.6,498.86,Felújított lakás,4.0
2010 Q1,Craiova,997.78,288.45,519.36,Felújított lakás,4.17
2010 Q1,Reșița,1062.32,361.31,493.47,Felújított lakás,5.4
2010 Q1,Reșița,1082.82,283.95,513.45,Használt lakás,5.01
2010 Q1,Reșița,1011.72,269.08,501.47,Új lakás,5.5
2010 Q1,Reșița,1174.14,338.37,629.19,Felújított lakás,4.23
2010 Q1,Reșița,1104.68,307.33,631.39,Felújított lakás,4.19
2010 Q1,Slatina,899.23,276.02,372.57,Új lakás,4.47
2010 Q1,Slatina,908.9,306.02,520.51,Felújított lakás,6.88
2010 Q1,Slatina,1114.05,276.92,446.1,Új lakás,5.49
2010 Q1,Slatina,841.57,373.26,570.77,Új lakás,4.53
2010 Q1,Slatina,794.42,354.15,493.13,Új lakás,6.24
2010 Q2,București,808.67,276.02,500.31,Használt lakás,5.05
2010 Q2,București,945.99,324.91,435.94,Használt lakás,4.86
2010 Q2,București,1014.44,320.58,542.7,Használt lakás,3.88
2010 Q2,București,815.91,351.11,519.94,Új lakás,4.25
2010 Q2,București,1186.14,304.63,570.76,Új lakás,5.07
2010 Q2,Cluj-Napoca,1247.29,370.21,485.06,Használt lakás,5.97
2010 Q2,Cluj-Napoca,1077.45,354.75,442.1,Új lakás,5.69
2010 Q2,Cluj-Napoca,1127.01,229.65,429.0,Használt lakás,2.96
2010 Q2,Cluj-Napoca,967.67,328.7,590.14,Felújított lakás,5.07
2010 Q2,Cluj-Napoca,1195.43,244.8,397.8,Felújított lakás,4.94
2010 Q2,Timișoara,1046.09,298.69,375.95,Használt lakás,4.91
2010 Q2,Timișoara,843.46,326.79,522.0,Új lakás,4.06
2010 Q2,Timișoara,938.34,257.63,496.24,Használt lakás,5.96
2010 Q2,Timișoara,881.71,320.16,468.18,Új lakás,4.21
2010 Q2,Timișoara,987.16,258.59,466.78,Új lakás,3.8
2010 Q2,Iași,1235.77,301.41,458.02,Új lakás,5.21
2010 Q2,Iași,986.52,291.16,536.85,Felújított lakás,5.76
2010 Q2,Iași,936.34,276.97,483.5,Használt lakás,2.7
2010 Q2,Iași,818.18,354.67,598.7,Felújított lakás,4.75
2010 Q2,Iași,1069.19,312.45,684.73,Felújított lakás,6.12
2010 Q2,Brașov,984.65,261.78,403.61,Használt lakás,5.2
2010 Q2,Brașov,909.24,243.11,461.21,Felújított lakás,3.92
2010 Q2,Brașov,1202.46,335.27,499.52,Új lakás,6.48
2010 Q2,Brașov,1009.28,265.55,591.39,Új lakás,5.54
2010 Q2,Brașov,875.53,292.39,447.46,Új lakás,3.62
2010 Q2,Constanța,1111.14,376.38,416.09,Felújított lakás,5.56
2010 Q2,Constanța,921.92,280.51,464.46,Használt lakás,4.14
2010 Q2,Constanța,1005.82,266.76,516.23,Felújított lakás,4.95
2010 Q2,Constanța,971.33,263.7,465.39,Használt lakás,5.76
2010 Q2,Constanța,1060.11,260.9,505.96,Használt lakás,5.75
2010 Q2,Sibiu,799.67,321.73,460.24,Használt lakás,5.57
2010 Q2,Sibiu,908.41,227.8,402.35,Használt lakás,5.05
2010 Q2,Sibiu,1031.17,263.83,538.32,Használt lakás,3.34
2010 Q2,Sibiu,992.07,251.56,460.89,Használt lakás,5.05
2010 Q2,Sibiu,896.75,284.62,560.38,Új lakás,4.42
2010 Q2,Oradea,1100.28,254.81,531.79,Használt lakás,6.44
2010 Q2,Oradea,703.4,268.12,534.62,Új lakás,4.8
2010 Q2,Oradea,1044.54,275.84,505.2,Felújított lakás,4.84
2010 Q2,Oradea,1140.13,310.18,520.26,Új lakás,4.59
2010 Q2,Oradea,941.49,282.7,523.67,Új lakás,4.58
2010 Q2,Galați,1034.77,383.02,552.27,Használt lakás,4.67
2010 Q2,Galați,1144.15,283.68,377.71,Új lakás,3.99
2010 Q2,Galați,775.5,285.94,501.11,Használt lakás,6.68
2010 Q2,Galați,1039.23,291.24,549.76,Új lakás,2.79
2010 Q2,Galați,1028.27,330.83,411.28,Használt lakás,6.14
2010 Q2,Ploiești,1040.62,283.39,537.97,Új lakás,7.27
2010 Q2,Ploiești,1021.82,309.93,472.44,Használt lakás,4.15
2010 Q2,Ploiești,1099.64,265.76,504.29,Felújított lakás,4.52
2010 Q2,Ploiești,1057.48,313.35,562.25,Felújított lakás,4.49
2010 Q2,Ploiești,967.62,260.85,473.34,Felújított lakás,5.38
2010 Q2,Arad,1090.84,263.11,552.18,Új lakás,6.36
2010 Q2,Arad,1049.61,375.07,453.57,Új lakás,3.76
